species_searched,species,longitude,latitude,source,date,key
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1933,USNM 258614
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1910,USNM 196975
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1920,USNM 244425
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1935,USNM 261022
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.200222,-19.788,specieslink,NA,MM000186
Chrysocyon brachyurus,Chrysocyon brachyurus,-52.8947,-14.5156,specieslink,2000,CZJR093
Chrysocyon brachyurus,Chrysocyon brachyurus,-52.2567,-15.89,specieslink,2010,CM413
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1996,NA
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1996,NA
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1988,MHNCI 1718
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1998,MHNCI 4118
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2003,MHNCI 4250
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,NA,MHNCI 0500
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1985,MHNCI 0846
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1985,MHNCI 0892
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1993,MHNCI 3522
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2004,MHNCI 5086
Chrysocyon brachyurus,Chrysocyon brachyurus,-49.116699,-24.233299,specieslink,2003,17297
Chrysocyon brachyurus,Chrysocyon brachyurus,-46.883301,-23.200001,specieslink,1990,17302
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.400799,-20.538601,specieslink,1900,18400
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.349998,-20.1,specieslink,2003,17129
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.599998,-20.116699,specieslink,2003,17142
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.400002,-22.133301,specieslink,2002,17169
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.8167,-22.75,specieslink,2003,17185
Chrysocyon brachyurus,Chrysocyon brachyurus,-50.200001,-22.5333,specieslink,2002,17208
Chrysocyon brachyurus,Chrysocyon brachyurus,-50.966701,-20.866699,specieslink,1990,17225
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.466701,-21.1833,specieslink,1991,17279
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.116699,-22.65,specieslink,2002,17283
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.450001,-21.1833,specieslink,1991,17285
Chrysocyon brachyurus,Chrysocyon brachyurus,-46.700001,-21.7167,specieslink,1992,17291
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.5470900994,-23.2227524941,specieslink,2017,22566
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.1942135565,-23.2064666314,specieslink,2017,22582
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.5105885243,-23.3568412574,specieslink,2017,22586
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.5451688973,-23.1055386564,specieslink,2017,22587
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.167791,-23.233176,specieslink,2017,22597
