species_searched,species,longitude,latitude,source,date,key
Ameiva ameiva,Ameiva ameiva,0,0,specieslink,2008,3361
Ameiva ameiva,Ameiva ameiva,-72.669722222222,-7.6311111111111,specieslink,1975,201
Ameiva ameiva,Ameiva ameiva,-72.669722222222,-7.6311111111111,specieslink,1975,202
Ameiva ameiva,Ameiva ameiva,-72.669722222222,-7.6311111111111,specieslink,1981,212
Ameiva ameiva,Ameiva ameiva,-72.669722222222,-7.6311111111111,specieslink,1981,213
Ameiva ameiva,Ameiva ameiva,-72.895555555556,-7.6144444444444,specieslink,1981,221
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1976,227
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1977,346
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1977,347
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1977,349
Ameiva ameiva,Ameiva ameiva,-41.855555555556,-11.304444444444,specieslink,1974,350
Ameiva ameiva,Ameiva ameiva,-41.855555555556,-11.304444444444,specieslink,1974,352
Ameiva ameiva,Ameiva ameiva,-44.313888888889,-19.762777777778,specieslink,1976,353
Ameiva ameiva,Ameiva ameiva,-47.209722222222,-23.090277777778,specieslink,1975,354
Ameiva ameiva,Ameiva ameiva,0,0,specieslink,1978,369
Ameiva ameiva,Ameiva ameiva,-42.699166666667,-9.0155555555556,specieslink,1989,875
Ameiva ameiva,Ameiva ameiva,-50.43,-21.200277777778,specieslink,1990,2961
Ameiva ameiva,Ameiva ameiva,-51.707222222222,-20.993333333333,specieslink,2013,3934
Ameiva ameiva,Ameiva ameiva,0,0,specieslink,1988,4335
Ameiva ameiva,Ameiva ameiva,-44.4147,-2.40889,specieslink,2008,3323
Ameiva ameiva,Ameiva ameiva,-47.82,-22.25,specieslink,2002,3971
Ameiva ameiva,Ameiva ameiva,-44.054199,-2.56194,specieslink,2007,3989
Ameiva ameiva,Ameiva ameiva,-44.054199,-2.56194,specieslink,2007,3990
Ameiva ameiva,Ameiva ameiva,-44.054199,-2.56194,specieslink,2007,3991
Ameiva ameiva,Ameiva ameiva,-44.054199,-2.56194,specieslink,2007,3995
Ameiva ameiva,Ameiva ameiva,-44.054199,-2.56194,specieslink,2007,3999
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1978,408
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1978,377
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1978,374
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1978,370
Ameiva ameiva,Ameiva ameiva,-20.982777777778,-51.789166666667,specieslink,2009,3503
Ameiva ameiva,Ameiva ameiva,-47.861847222222,0,specieslink,2014,4426
Ameiva ameiva,Ameiva ameiva,-47.61,0,specieslink,2002,2907
Ameiva ameiva,Ameiva ameiva,-47.61,0,specieslink,2002,2906
Ameiva ameiva,Ameiva ameiva,0,0,specieslink,1973,200
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1977,197
Ameiva ameiva,Ameiva ameiva,0,0,specieslink,1981,198
Ameiva ameiva,Ameiva ameiva,-44.313888888889,-19.762777777778,specieslink,1976,215
Ameiva ameiva,Ameiva ameiva,-41.855555555556,-11.304444444444,specieslink,1974,216
Ameiva ameiva,Ameiva ameiva,-60.025,-3.1019444444444,specieslink,1977,344
Ameiva ameiva,Ameiva ameiva,-41.855555555556,-11.304444444444,specieslink,1974,351
Ameiva ameiva,Ameiva ameiva,-41.855555555556,-11.304444444444,specieslink,1974,364
