id,species_searched,species,longitude,latitude,source,date,key,temporal_filter,precision_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary
1,Chrysocyon brachyurus,Chrysocyon brachyurus,-52.8947,-14.5156,specieslink,2000,CZJR093,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,Chrysocyon brachyurus,Chrysocyon brachyurus,-49.116699,-24.233299,specieslink,2003,17297,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.599998,-20.116699,specieslink,2003,17142,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.400002,-22.133301,specieslink,2002,17169,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,Chrysocyon brachyurus,Chrysocyon brachyurus,-50.200001,-22.5333,specieslink,2002,17208,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,Chrysocyon brachyurus,Chrysocyon brachyurus,-50.966701,-20.866699,specieslink,1990,17225,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.466701,-21.1833,specieslink,1991,17279,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.450001,-21.1833,specieslink,1991,17285,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,Chrysocyon brachyurus,Chrysocyon brachyurus,-46.700001,-21.7167,specieslink,1992,17291,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.5470900994,-23.2227524941,specieslink,2017,22566,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
