id,species_searched,species,longitude,latitude,source,date,key,temporal_filter,precision_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.otl,.gbf,.inst,.dpl,.summary
1,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1933,USNM 258614,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1910,USNM 196975,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1920,USNM 244425,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
4,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1935,USNM 261022,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
5,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.200222,-19.788,specieslink,NA,MM000186,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,Chrysocyon brachyurus,Chrysocyon brachyurus,-52.8947,-14.5156,specieslink,2000,CZJR093,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,Chrysocyon brachyurus,Chrysocyon brachyurus,-52.2567,-15.89,specieslink,2010,CM413,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1996,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
9,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1996,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
10,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1988,MHNCI 1718,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
11,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1998,MHNCI 4118,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
12,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2003,MHNCI 4250,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
13,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,NA,MHNCI 0500,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
14,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1985,MHNCI 0846,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
15,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1985,MHNCI 0892,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
16,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1993,MHNCI 3522,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
17,Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2004,MHNCI 5086,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
18,Chrysocyon brachyurus,Chrysocyon brachyurus,-49.116699,-24.233299,specieslink,2003,17297,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19,Chrysocyon brachyurus,Chrysocyon brachyurus,-46.883301,-23.200001,specieslink,1990,17302,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
20,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.400799,-20.538601,specieslink,1900,18400,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
21,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.349998,-20.1,specieslink,2003,17129,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.599998,-20.116699,specieslink,2003,17142,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
23,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.400002,-22.133301,specieslink,2002,17169,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
24,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.8167,-22.75,specieslink,2003,17185,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
25,Chrysocyon brachyurus,Chrysocyon brachyurus,-50.200001,-22.5333,specieslink,2002,17208,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26,Chrysocyon brachyurus,Chrysocyon brachyurus,-50.966701,-20.866699,specieslink,1990,17225,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.466701,-21.1833,specieslink,1991,17279,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.116699,-22.65,specieslink,2002,17283,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
29,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.450001,-21.1833,specieslink,1991,17285,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
30,Chrysocyon brachyurus,Chrysocyon brachyurus,-46.700001,-21.7167,specieslink,1992,17291,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
31,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.5470900994,-23.2227524941,specieslink,2017,22566,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
32,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.1942135565,-23.2064666314,specieslink,2017,22582,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
33,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.5105885243,-23.3568412574,specieslink,2017,22586,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.5451688973,-23.1055386564,specieslink,2017,22587,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
35,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.167791,-23.233176,specieslink,2017,22597,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.883301,-22.8167,specieslink,2003,17182,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.599998,-22.633301,specieslink,1990,17278,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
38,Chrysocyon brachyurus,Chrysocyon brachyurus,-46.541901,-22.9186,specieslink,1900,18338,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.7635,-22.264,specieslink,2003,10442,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
